run	mode	expand	top_k	requests	errors	timeouts	missing_from_gt	strict	tie	qps	p50	p95	p99	max	wall_s	offered_rps	schedule_lag_s	above_capacity	start	end	ident_lines	ident_ok	process	first_warn_or_error
f-warm-dev-c32	c32	on	10	5000	0	0	0	0.97522	0.98764	575.59	54.11	66.21	82.00	146.09	8.70				2026-09-24T06:45:28Z	2026-09-24T06:45:37Z	3	True	291953@Thu_Sep_24_06:45:04_2026	
s3-c32-on-1	c32	on	10	95000	0	0	0	0.97299	0.98608	596.40	53.01	63.53	69.37	187.49	159.30				2026-09-24T06:45:42Z	2026-09-24T06:48:26Z	9	True	291953@Thu_Sep_24_06:45:04_2026	
s3-c32-off-1	c32	off	10	95000	0	0	179268	0.00000	0.33172	597.54	52.99	63.41	68.99	166.60	159.00				2026-09-24T06:48:31Z	2026-09-24T06:51:16Z	9	True	291953@Thu_Sep_24_06:45:04_2026	
s3-r200-on	r200	on	10	95000	0	0	0	0.97299	0.98608	199.99	26.02	32.15	36.69	104.19	475.00	200.00	0.00000	False	2026-09-24T06:51:21Z	2026-09-24T06:59:21Z	20	True	291953@Thu_Sep_24_06:45:04_2026	
s3-r200-off	r200	off	10	95000	0	0	179268	0.00000	0.33172	199.99	25.59	31.84	36.14	101.63	475.00	200.00	0.00000	False	2026-09-24T06:59:26Z	2026-09-24T07:07:26Z	20	True	291953@Thu_Sep_24_06:45:04_2026	
s3-c32-off-2	c32	off	10	95000	0	0	179268	0.00000	0.33172	589.65	53.65	64.87	70.90	177.22	161.10				2026-09-24T07:07:31Z	2026-09-24T07:10:17Z	10	True	291953@Thu_Sep_24_06:45:04_2026	
s3-c32-on-2	c32	on	10	95000	0	0	0	0.97299	0.98608	592.38	53.44	64.66	70.43	194.78	160.40				2026-09-24T07:10:22Z	2026-09-24T07:13:08Z	10	True	291953@Thu_Sep_24_06:45:04_2026	
dev-k100-l12000-rs400-c160	c160	on	100	5000	0	0	0	0.96092	0.98518	617.95	252.65	368.39	414.32	553.17	8.10				2026-09-24T07:13:13Z	2026-09-24T07:13:22Z	4	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c1-rep1	c1	on	10	95000	0	0	0	0.97299	0.98608	42.90	22.58	27.78	49.91	74.10	2214.30				2026-09-24T07:13:34Z	2026-09-24T07:50:33Z	77	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c16-rep1	c16	on	10	95000	0	0	0	0.97299	0.98608	441.71	36.01	44.27	48.53	124.47	215.10				2026-09-24T07:50:38Z	2026-09-24T07:54:19Z	12	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c64-rep1	c64	on	10	95000	0	0	0	0.97299	0.98608	614.06	102.17	147.44	168.88	280.42	154.70				2026-09-24T07:54:24Z	2026-09-24T07:57:04Z	9	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c256-rep1	c256	on	10	95000	0	0	0	0.97299	0.98608	615.31	410.99	526.56	573.91	764.56	154.40				2026-09-24T07:57:09Z	2026-09-24T07:59:48Z	10	True	291953@Thu_Sep_24_06:45:04_2026	
s6-r100-rep1	r100	on	10	95000	0	0	0	0.97299	0.98608	100.00	23.44	29.50	50.85	92.60	950.00	100.00	0.00000	False	2026-09-24T07:59:53Z	2026-09-24T08:15:49Z	35	True	291953@Thu_Sep_24_06:45:04_2026	
s6-r600-rep1	r600	on	10	95000	0	0	0	0.97299	0.98608	599.84	74.16	190.63	285.53	466.57	158.40	600.00	0.00000	False	2026-09-24T08:15:54Z	2026-09-24T08:18:37Z	9	True	291953@Thu_Sep_24_06:45:04_2026	
s6-r800-rep1	r800	on	10	95000	0	0	0	0.97299	0.98608	614.68	409.68	528.68	580.78	791.83	154.60	800.00	35.80	True	2026-09-24T08:18:42Z	2026-09-24T08:21:22Z	9	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c1-rep2	c1	on	10	95000	0	0	0	0.97299	0.98608	42.58	22.58	28.67	50.62	74.64	2230.90				2026-09-24T08:21:27Z	2026-09-24T08:58:43Z	78	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c16-rep2	c16	on	10	95000	0	0	0	0.97299	0.98608	441.41	36.01	44.47	48.72	133.23	215.20				2026-09-24T08:58:48Z	2026-09-24T09:02:29Z	11	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c64-rep2	c64	on	10	95000	0	0	0	0.97299	0.98608	613.09	102.56	147.39	168.60	266.86	155.00				2026-09-24T09:02:34Z	2026-09-24T09:05:14Z	10	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c256-rep2	c256	on	10	95000	2	0	0	0.97299	0.98608	623.50	407.83	496.47	539.65	683.85	152.40				2026-09-24T09:05:19Z	2026-09-24T09:07:56Z	9	True	291953@Thu_Sep_24_06:45:04_2026	2026-09-24T09:05:24.412759Z  WARN nova_storm::runner: first failed dispatch of the run (further failures are only counted): query 0: search HTTP 429 Too Many Requests: {"error":{"code":"queue_full","message":"request queue is full"}}
s6-r100-rep2	r100	on	10	95000	0	0	0	0.97299	0.98608	100.00	22.24	29.01	40.33	93.73	950.00	100.00	0.00000	False	2026-09-24T09:08:01Z	2026-09-24T09:23:57Z	36	True	291953@Thu_Sep_24_06:45:04_2026	
s6-r600-rep2	r600	on	10	95000	0	0	0	0.97299	0.98608	599.85	52.27	100.34	135.28	245.72	158.40	600.00	0.00000	False	2026-09-24T09:24:02Z	2026-09-24T09:26:45Z	10	True	291953@Thu_Sep_24_06:45:04_2026	
s6-r800-rep2	r800	on	10	95000	0	0	0	0.97299	0.98608	624.17	405.82	493.36	546.11	710.62	152.20	800.00	33.50	True	2026-09-24T09:26:50Z	2026-09-24T09:29:28Z	9	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c1-rep3	c1	on	10	95000	0	0	0	0.97299	0.98608	45.65	20.94	26.17	48.59	75.11	2080.90				2026-09-24T09:29:33Z	2026-09-24T10:04:19Z	73	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c16-rep3	c16	on	10	95000	0	0	0	0.97299	0.98608	452.27	35.19	43.17	47.60	116.65	210.10				2026-09-24T10:04:24Z	2026-09-24T10:07:59Z	11	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c64-rep3	c64	on	10	95000	0	0	0	0.97299	0.98608	620.57	101.56	144.46	164.86	267.20	153.10				2026-09-24T10:08:04Z	2026-09-24T10:10:42Z	9	True	291953@Thu_Sep_24_06:45:04_2026	
s6-c256-rep3	c256	on	10	95000	0	0	0	0.97299	0.98608	629.20	403.95	474.80	511.97	698.57	151.00				2026-09-24T10:10:47Z	2026-09-24T10:13:23Z	9	True	291953@Thu_Sep_24_06:45:04_2026	
s6-r100-rep3	r100	on	10	95000	0	0	0	0.97299	0.98608	100.00	22.11	27.69	34.14	238.80	950.00	100.00	0.00000	False	2026-09-24T10:13:28Z	2026-09-24T10:29:24Z	35	True	291953@Thu_Sep_24_06:45:04_2026	
s6-r600-rep3	r600	on	10	95000	0	0	0	0.97299	0.98608	599.86	49.15	100.12	151.35	286.83	158.40	600.00	0.00000	False	2026-09-24T10:29:29Z	2026-09-24T10:32:12Z	10	True	291953@Thu_Sep_24_06:45:04_2026	
s6-r800-rep3	r800	on	10	95000	0	0	0	0.97299	0.98608	625.78	405.27	490.67	535.50	682.63	151.80	800.00	33.10	True	2026-09-24T10:32:17Z	2026-09-24T10:34:54Z	9	False	291953@Thu_Sep_24_06:45:04_2026	
dev-k100-l12000-rs1000-c160	c160	on	100	5000	0	0	0	0.96286	0.98567	558.24	278.90	404.48	456.95	541.79	9.00				2026-09-24T10:36:46Z	2026-09-24T10:36:56Z	4	False	309273@Thu_Sep_24_10:35:37_2026	
dev-k100-l18000-rs400-c160	c160	on	100	5000	0	0	0	0.96901	0.98934	415.91	377.78	487.44	546.51	690.54	12.00				2026-09-24T10:39:29Z	2026-09-24T10:39:41Z	5	False	310938@Thu_Sep_24_10:38:18_2026	
dev-k100-l18000-rs1000-c160	c160	on	100	5000	0	0	0	0.97119	0.98984	399.10	392.13	519.40	597.20	752.22	12.50				2026-09-24T10:42:15Z	2026-09-24T10:42:28Z	4	False	312444@Thu_Sep_24_10:41:04_2026	
dev-k100-l24000-rs400-c160	c160	on	100	5000	0	0	0	0.97438	0.99192	316.91	498.62	628.63	699.38	988.14	15.80				2026-09-24T10:45:01Z	2026-09-24T10:45:17Z	5	False	313927@Thu_Sep_24_10:43:51_2026	
dev-k100-l24000-rs1000-c160	c160	on	100	5000	0	0	0	0.97668	0.99231	307.37	515.12	647.66	713.66	963.97	16.30				2026-09-24T10:47:49Z	2026-09-24T10:48:06Z	5	False	315799@Thu_Sep_24_10:46:39_2026	
dev-k100-l36000-rs400-c160	c160	on	100	5000	0	0	0	0.97978	0.99468	212.89	746.41	934.23	1006.25	1365.02	23.50				2026-09-24T10:50:40Z	2026-09-24T10:51:04Z	4	False	317480@Thu_Sep_24_10:49:30_2026	
dev-k100-l36000-rs1000-c160	c160	on	100	5000	0	0	0	0.98205	0.99498	207.77	755.49	961.63	1058.08	1262.36	24.10				2026-09-24T10:53:38Z	2026-09-24T10:54:03Z	4	False	319312@Thu_Sep_24_10:52:29_2026	
f-warm2-dev-c32	c32	on	10	5000	0	0	0	0.97522	0.98764	593.00	52.54	65.04	79.52	141.01	8.40				2026-09-24T10:57:59Z	2026-09-24T10:58:08Z	4	True	322583@Thu_Sep_24_10:56:53_2026	
s6-r800-rep3r	r800	on	10	95000	0	0	0	0.97299	0.98608	629.31	403.61	476.72	514.92	642.73	151.00	800.00	32.20	True	2026-09-24T10:58:13Z	2026-09-24T11:00:49Z	9	True	322583@Thu_Sep_24_10:56:53_2026	
fleet-k100-frozen12k	c160	on	100	753902	0	0	0	0.95836	0.98378	628.15	251.88	321.77	359.87	570.93	1200.20				2026-09-24T11:00:54Z	2026-09-24T11:21:00Z	44	True	322583@Thu_Sep_24_10:56:53_2026	
fleet-k100-tuned-warm-dev	c160	on	100	5000	0	0	0	0.97119	0.98984	388.44	404.70	569.20	632.38	849.96	12.90				2026-09-24T11:23:48Z	2026-09-24T11:24:01Z	5	True	328785@Thu_Sep_24_11:22:32_2026	
fleet-k100-tuned	c160	on	100	476554	0	0	0	0.96892	0.98859	397.03	399.35	553.48	617.92	893.25	1200.30				2026-09-24T11:24:06Z	2026-09-24T11:44:12Z	44	True	328785@Thu_Sep_24_11:22:32_2026	
